"REF_DATE","GEO","DGUID","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","17.2","","","","1"
"2001","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","16.1","","","","1"
"2002","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","15.1","","","","1"
"2003","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","14.4","","","","1"
"2004","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","13.6","","","","1"
"2005","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","13.4","","","","1"
"2006","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","13.7","","","","1"
"2007","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","13.9","","","","1"
"2008","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","14.2","","","","1"
"2009","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","14.1","","","","1"
"2010","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","13.3","","","","1"
"2011","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","12.4","","","","1"
"2012","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","12.1","","","","1"
"2013","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","11.2","","","","1"
"2014","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","10.4","","","","1"
"2015","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","9.5","","","","1"
"2016","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","8.4","","","","1"
"2017","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","7.8","","","","1"
"2018","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","6.8","","","","1"
"2019","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","6.4","","","","1"
"2020","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","5.8","","","","1"
"2021","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","5.2","","","","1"
"2022","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","4.7","","","","1"
"2023","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","4.1","","","","1"
"2024","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","4.0","","","","1"
"2000","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 20 to 24 years","Rate","257","units","0","v21400969","1.2","59.3","","","","1"
"2001","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 20 to 24 years","Rate","257","units","0","v21400969","1.2","56.8","","","","1"
"2002","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 20 to 24 years","Rate","257","units","0","v21400969","1.2","54.5","","","","1"
"2003","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 20 to 24 years","Rate","257","units","0","v21400969","1.2","53.2","","","","1"
"2004","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 20 to 24 years","Rate","257","units","0","v21400969","1.2","51.4","","","","1"
"2005","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 20 to 24 years","Rate","257","units","0","v21400969","1.2","51.1","","","","1"
"2006","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 20 to 24 years","Rate","257","units","0","v21400969","1.2","51.9","","","","1"
"2007","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 20 to 24 years","Rate","257","units","0","v21400969","1.2","52.7","","","","1"
"2008","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 20 to 24 years","Rate","257","units","0","v21400969","1.2","53.4","","","","1"
"2009","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 20 to 24 years","Rate","257","units","0","v21400969","1.2","51.7","","","","1"
"2010","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 20 to 24 years","Rate","257","units","0","v21400969","1.2","48.3","","","","1"
"2011","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 20 to 24 years","Rate","257","units","0","v21400969","1.2","46.2","","","","1"
"2012","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 20 to 24 years","Rate","257","units","0","v21400969","1.2","44.7","","","","1"
"2013","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 20 to 24 years","Rate","257","units","0","v21400969","1.2","42.9","","","","1"
"2014","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 20 to 24 years","Rate","257","units","0","v21400969","1.2","42.4","","","","1"
"2015","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 20 to 24 years","Rate","257","units","0","v21400969","1.2","41.0","","","","1"
"2016","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 20 to 24 years","Rate","257","units","0","v21400969","1.2","39.5","","","","1"
"2017","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 20 to 24 years","Rate","257","units","0","v21400969","1.2","37.0","","","","1"
"2018","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 20 to 24 years","Rate","257","units","0","v21400969","1.2","33.9","","","","1"
"2019","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 20 to 24 years","Rate","257","units","0","v21400969","1.2","31.8","","","","1"
"2020","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 20 to 24 years","Rate","257","units","0","v21400969","1.2","29.7","","","","1"
"2021","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 20 to 24 years","Rate","257","units","0","v21400969","1.2","28.1","","","","1"
"2022","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 20 to 24 years","Rate","257","units","0","v21400969","1.2","25.7","","","","1"
"2023","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 20 to 24 years","Rate","257","units","0","v21400969","1.2","23.5","","","","1"
"2024","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 20 to 24 years","Rate","257","units","0","v21400969","1.2","22.2","","","","1"
"2000","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 25 to 29 years","Rate","257","units","0","v21400970","1.3","99.6","","","","1"
"2001","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 25 to 29 years","Rate","257","units","0","v21400970","1.3","101.3","","","","1"
"2002","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 25 to 29 years","Rate","257","units","0","v21400970","1.3","99.0","","","","1"
"2003","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 25 to 29 years","Rate","257","units","0","v21400970","1.3","100.6","","","","1"
"2004","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 25 to 29 years","Rate","257","units","0","v21400970","1.3","100.1","","","","1"
"2005","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 25 to 29 years","Rate","257","units","0","v21400970","1.3","99.5","","","","1"
"2006","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 25 to 29 years","Rate","257","units","0","v21400970","1.3","100.9","","","","1"
"2007","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 25 to 29 years","Rate","257","units","0","v21400970","1.3","102.0","","","","1"
"2008","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 25 to 29 years","Rate","257","units","0","v21400970","1.3","102.9","","","","1"
"2009","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 25 to 29 years","Rate","257","units","0","v21400970","1.3","101.7","","","","1"
"2010","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 25 to 29 years","Rate","257","units","0","v21400970","1.3","97.4","","","","1"
"2011","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 25 to 29 years","Rate","257","units","0","v21400970","1.3","96.4","","","","1"
"2012","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 25 to 29 years","Rate","257","units","0","v21400970","1.3","96.4","","","","1"
"2013","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 25 to 29 years","Rate","257","units","0","v21400970","1.3","94.3","","","","1"
"2014","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 25 to 29 years","Rate","257","units","0","v21400970","1.3","94.0","","","","1"
"2015","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 25 to 29 years","Rate","257","units","0","v21400970","1.3","92.3","","","","1"
"2016","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 25 to 29 years","Rate","257","units","0","v21400970","1.3","91.2","","","","1"
"2017","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 25 to 29 years","Rate","257","units","0","v21400970","1.3","87.1","","","","1"
"2018","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 25 to 29 years","Rate","257","units","0","v21400970","1.3","83.5","","","","1"
"2019","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 25 to 29 years","Rate","257","units","0","v21400970","1.3","80.5","","","","1"
"2020","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 25 to 29 years","Rate","257","units","0","v21400970","1.3","75.8","","","","1"
"2021","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 25 to 29 years","Rate","257","units","0","v21400970","1.3","76.6","","","","1"
"2022","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 25 to 29 years","Rate","257","units","0","v21400970","1.3","68.9","","","","1"
"2023","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 25 to 29 years","Rate","257","units","0","v21400970","1.3","64.8","","","","1"
"2024","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 25 to 29 years","Rate","257","units","0","v21400970","1.3","62.7","","","","1"
"2000","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 30 to 34 years","Rate","257","units","0","v21400971","1.4","86.2","","","","1"
"2001","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 30 to 34 years","Rate","257","units","0","v21400971","1.4","91.3","","","","1"
"2002","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 30 to 34 years","Rate","257","units","0","v21400971","1.4","91.2","","","","1"
"2003","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 30 to 34 years","Rate","257","units","0","v21400971","1.4","94.7","","","","1"
"2004","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 30 to 34 years","Rate","257","units","0","v21400971","1.4","97.5","","","","1"
"2005","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 30 to 34 years","Rate","257","units","0","v21400971","1.4","101.0","","","","1"
"2006","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 30 to 34 years","Rate","257","units","0","v21400971","1.4","105.0","","","","1"
"2007","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 30 to 34 years","Rate","257","units","0","v21400971","1.4","108.0","","","","1"
"2008","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 30 to 34 years","Rate","257","units","0","v21400971","1.4","110.4","","","","1"
"2009","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 30 to 34 years","Rate","257","units","0","v21400971","1.4","110.0","","","","1"
"2010","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 30 to 34 years","Rate","257","units","0","v21400971","1.4","108.0","","","","1"
"2011","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 30 to 34 years","Rate","257","units","0","v21400971","1.4","107.6","","","","1"
"2012","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 30 to 34 years","Rate","257","units","0","v21400971","1.4","108.5","","","","1"
"2013","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 30 to 34 years","Rate","257","units","0","v21400971","1.4","108.5","","","","1"
"2014","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 30 to 34 years","Rate","257","units","0","v21400971","1.4","109.3","","","","1"
"2015","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 30 to 34 years","Rate","257","units","0","v21400971","1.4","110.0","","","","1"
"2016","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 30 to 34 years","Rate","257","units","0","v21400971","1.4","110.6","","","","1"
"2017","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 30 to 34 years","Rate","257","units","0","v21400971","1.4","108.3","","","","1"
"2018","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 30 to 34 years","Rate","257","units","0","v21400971","1.4","107.2","","","","1"
"2019","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 30 to 34 years","Rate","257","units","0","v21400971","1.4","105.8","","","","1"
"2020","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 30 to 34 years","Rate","257","units","0","v21400971","1.4","101.7","","","","1"
"2021","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 30 to 34 years","Rate","257","units","0","v21400971","1.4","107.0","","","","1"
"2022","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 30 to 34 years","Rate","257","units","0","v21400971","1.4","98.5","","","","1"
"2023","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 30 to 34 years","Rate","257","units","0","v21400971","1.4","93.4","","","","1"
"2024","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 30 to 34 years","Rate","257","units","0","v21400971","1.4","92.8","","","","1"
"2000","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 35 to 39 years","Rate","257","units","0","v21400972","1.5","33.8","","","","1"
"2001","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 35 to 39 years","Rate","257","units","0","v21400972","1.5","35.5","","","","1"
"2002","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 35 to 39 years","Rate","257","units","0","v21400972","1.5","36.1","","","","1"
"2003","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 35 to 39 years","Rate","257","units","0","v21400972","1.5","38.6","","","","1"
"2004","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 35 to 39 years","Rate","257","units","0","v21400972","1.5","40.4","","","","1"
"2005","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 35 to 39 years","Rate","257","units","0","v21400972","1.5","42.8","","","","1"
"2006","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 35 to 39 years","Rate","257","units","0","v21400972","1.5","45.9","","","","1"
"2007","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 35 to 39 years","Rate","257","units","0","v21400972","1.5","48.6","","","","1"
"2008","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 35 to 39 years","Rate","257","units","0","v21400972","1.5","50.4","","","","1"
"2009","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 35 to 39 years","Rate","257","units","0","v21400972","1.5","50.8","","","","1"
